k,Metric,TextSimMeasure,trainSetSize,accuracy,precision_for_classification,recall_for_classification,f1score_for_classification,westgermany_precision,westgermany_recall,westgermany_f1score,usa_precision,usa_recall,usa_f1score,france_precision,france_recall,france_f1score,uk_precision,uk_recall,uk_f1score,canada_precision,canada_recall,canada_f1score,japan_precision,japan_recall,japan_f1score,
14,ChebyshevMetric,TFM,0.7,0.8416666666666667,0.16666666666666666,0.14027777777777778,0.15233785822021115,0.0,0.0,0.0,1.0,0.8416666666666667,0.9140271493212669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,ChebyshevMetric,TFM,0.6,0.83375,0.16666666666666666,0.13895833333333332,0.15155646443990003,0.0,0.0,0.0,1.0,0.83375,0.9093387866394002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,ChebyshevMetric,TFM,0.5,0.827,0.16666666666666666,0.13783333333333334,0.15088487502280604,0.0,0.0,0.0,1.0,0.827,0.9053092501368363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,ChebyshevMetric,TFM,0.4,0.8391666666666666,0.16666666666666666,0.1398611111111111,0.1520918290288476,0.0,0.0,0.0,1.0,0.8391666666666666,0.9125509741730856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,ChebyshevMetric,TFM,0.3,0.8328571428571429,0.16666666666666666,0.1388095238095238,0.1514679137438296,0.0,0.0,0.0,1.0,0.8328571428571429,0.9088074824629775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,ChebyshevMetric,TFM,0.7,0.8383333333333334,0.16666666666666666,0.13972222222222222,0.15200967059534604,0.0,0.0,0.0,1.0,0.8383333333333334,0.9120580235720762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,ChebyshevMetric,TFM,0.6,0.83625,0.16666666666666666,0.139375,0.15180394826412524,0.0,0.0,0.0,1.0,0.83625,0.9108236895847515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,ChebyshevMetric,TFM,0.5,0.834,0.16666666666666666,0.13899999999999998,0.1515812431842966,0.0,0.0,0.0,1.0,0.834,0.9094874591057797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,ChebyshevMetric,TFM,0.4,0.8441666666666666,0.16666666666666666,0.14069444444444443,0.15258322036451272,0.0,0.0,0.0,1.0,0.8441666666666666,0.9154993221870763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,ChebyshevMetric,TFM,0.3,0.8307142857142857,0.16666666666666666,0.13845238095238097,0.15125503966705683,0.0,0.0,0.0,1.0,0.8307142857142857,0.907530238002341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,ChebyshevMetric,TFM,0.7,0.805,0.16666666666666666,0.13416666666666668,0.14866112650046168,0.0,0.0,0.0,1.0,0.805,0.89196675900277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,ChebyshevMetric,TFM,0.6,0.8275,0.16666666666666666,0.13791666666666666,0.1509347925216598,0.0,0.0,0.0,1.0,0.8275,0.9056087551299589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,ChebyshevMetric,TFM,0.5,0.82,0.16666666666666666,0.13666666666666666,0.15018315018315018,0.0,0.0,0.0,1.0,0.82,0.9010989010989011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,ChebyshevMetric,TFM,0.4,0.8375,0.16666666666666666,0.13958333333333334,0.15192743764172337,0.0,0.0,0.0,1.0,0.8375,0.9115646258503401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,ChebyshevMetric,TFM,0.3,0.8242857142857143,0.16666666666666666,0.13738095238095238,0.150613416862438,0.0,0.0,0.0,1.0,0.8242857142857143,0.9036805011746281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,ChebyshevMetric,TFM,0.7,0.85,0.16666666666666666,0.14166666666666666,0.15315315315315314,0.0,0.0,0.0,1.0,0.85,0.9189189189189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,ChebyshevMetric,TFM,0.6,0.83875,0.16666666666666666,0.13979166666666668,0.1520507591207795,0.0,0.0,0.0,1.0,0.83875,0.9123045547246771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
